tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
MASTER,sExBvo9_AiWL84Vatc31eoUtWQqrW2dvMS4bWHe1XYc1LQ,비취괴수,1,240,229,False,False,True,True
MASTER,Hgax0JEq0DqY5Qd0suciOi3aHTCr_NKaclr1VLXtgrBjARSMNv2zcbV2kw,xiaofengniao,189,266,217,False,False,True,True
MASTER,umpKCEkhdry3qpvpvLtczIUi5Yxm5AAvwGvQfUMFRnagubgu,Nabieh,1,464,451,False,False,True,True
MASTER,5UGJbDChQfWZ1s1eOADoGwSjTXbBgDm3npNMMlXQajUXHLs,Haruro,0,59,54,False,False,False,False
MASTER,XxjVwRG25xVIDvfa30I_F1Xwl4b7ieospiLgMYQRxIV2c9o,테디 추종자1,204,128,84,False,False,False,True
MASTER,YS4VpOqHHdQJiqdJ_uLC5VAEuF90bM-YLEgTPsFNuQAdetrSjd5ft5NawQ,작은 곱슬머리,95,141,92,False,False,False,False
MASTER,ugjXj5c3Y8iws09l29_A8sM0BrZvDWo4mMpuzHK_mNK-WL5nBnj_cOc3kg,행운의 여신신,49,217,183,False,False,True,False
MASTER,IZWpU6nK-KP_F4Onfv0FVc59Ml16xnBsJ8rm_DRRRBX1jq57WNbKOEkxZg,ADADADAD11,0,127,113,False,False,False,False
MASTER,5IBJIIGzpa5f4i4TqR-2IXu-MFSpTKAHgHwGWS6VM7aSxxxU,내셔님작,72,90,68,False,False,True,False
MASTER,ZT2iNQN9j1G8-ZooFlEopchWAkBemFO85opr8mGfAMluJy1ITiKOSGtTFA,kashjndadk,60,409,379,True,False,False,False
MASTER,NksC3I5-eCUpjQbKYmwLCXy7ZiVxhHDds0bPgnnaz_QNHbU,사회적고립두기,79,348,337,False,False,True,False
MASTER,t3FIlv1umRgkoaHq2PK0ROvsYpWCgjuHZhXZ8YeGPAgLVZKfACaKYSxOmQ,babyrui,164,104,95,False,False,True,False
MASTER,UnHRdQMiQmnsty1P5mXPsx7NJEfyG1S0qOh-P-E5j0_CVYU,시무라 아줌마,14,210,204,False,False,True,False
MASTER,XG2tx-TPkA80am7ETq3TmxfaXpl5Ul8FeiLRJFHT98LiltNHWy4Agf1QJw,밤하늘의별을1,14,57,42,False,False,False,False
MASTER,UklP9VmE_peb_fWTmxDRtN1jtGZLpmYJS8DpuvJKqUEbYo8U429FXFyiag,IllIllIIIlIIlII,20,76,56,False,False,True,False
MASTER,DQrMm4flwzZAUbBfE3zht_GZ92ChkfFe5RLNIpL3VS_BZWc,자극하지마라1,48,141,129,False,False,False,False
MASTER,RbFtozQSVVdgNjZUMlriDTUP1OgARlDVakF2XfbaQwVVW2Q,Assault0,89,374,359,False,False,True,False
MASTER,4iqewmvfmLwIZuS2vi3CRUncX1YwUSpaVvUDHD85a35Hog,1993e,31,167,122,False,False,False,False
MASTER,64JgSkyT7q1ROHONazDgzgLk-icI7cQgN8CyraC25vcUPDB1,bot game1,225,422,400,False,False,True,True
MASTER,JbWSOH2cSKbsCamceKTaEHTGU1LXUMfLE132VI3e8xVovTg,정글여,0,161,161,False,False,True,False
